AGB,Prediction
53.269238,69.95706168810527
11.206378,14.500586477915446
22.76031,36.30084783434868
18.551027,21.366334753036497
15.775692,22.249576591650648
27.207767,27.983941803375878
12.160142,20.77289253552755
195.36182,97.96129399935406
11.622742,11.58790383021037
11.829869,12.072781075636547
13.976376,20.089771132469178
22.267977,19.01889436443647
11.09325,17.889435243606567
24.093029,13.574659266471862
13.463332,19.45559469540914
104.1661,31.316834789911905
13.809906,15.338129738966622
10.740305,13.622991359233861
18.637976,18.753786836465203
11.797857,36.35854270259539
85.29718,62.54116176764169
12.04616,13.274112831751504
11.052471,13.291991370121641
11.093398,12.015124392509463
87.47702,32.85632006645203
11.316725,23.320566905339557
11.134369,15.327294172843299
12.894879,26.425766652425132
11.134369,12.380013465881346
10.831689,27.86232449531555
10.834694,26.013771038055424
239.69048,109.95391125996908
11.62268,12.387706783612566
197.81819,106.46307603836061
12.932854,15.91382500727971
11.580791,16.862761268615724
19.8072,31.678853514194483
19.277576,27.105673484802242
105.89235,62.057162748972566
48.493687,14.391901795069375
31.736794,40.34757801055908
135.91174,19.177574059963227
11.717374,17.36969905296961
10.244035,13.405030428171155
314.89966,139.46559745152794
10.740091,16.353133965730667
10.997757,15.095162521998086
10.352882,16.02182401021322
248.51656,84.17625843683878
55.785015,48.179601729710896
10.943425,14.466066567103068
77.447975,45.11608214696248
10.246797,13.199138720830284
248.05962,151.11945936838785
116.307976,53.46165020306905
12.520201,13.056483662525814
10.445835,15.817454458872477
62.041195,78.20947170893352
62.65013,75.14032955487569
133.03555,73.34146619478861
35.169926,36.99257049878438
33.84987,39.168651580810554
20.483843,21.75848670641581
21.11994,17.319453983306886
9.982998,38.835375741322835
59.92907,53.351143989562985
11.566743,13.834877271652225
67.63083,49.810018701553346
27.383848,29.798563124338784
20.346275,17.074641743103662
67.131096,67.35199078241985
19.918425,44.345360800425205
19.30666,16.594349943796793
19.779747,74.56502845128377
22.250883,29.48744801521302
10.683807,51.60878860791525
43.69828,71.44005232810973
66.10811,48.27793600718181
64.35453,40.02263515472413
57.261276,57.68362201054892
23.860949,69.68257884979248
84.62487,32.28697833697001
21.664328,19.89400315125783
43.161354,77.7131136194865
121.62173,31.27349473953247
15.957049,31.493388735453287
85.03532,67.44445893605551
50.339314,61.67718293190001
18.832476,17.680768582026165
64.47864,64.48719852765403
24.32352,17.050685021082558
44.337193,75.49966237386067
16.210659,21.43467484474182
28.92481,85.05289237340293
62.709587,67.1918984190623
12.045012,15.773662293752038
16.295387,21.890647614796958
16.383635,31.79438773790995
20.55987,24.02952183087667
19.803272,29.03249393145243
22.9135,55.11158699035644
20.27391,28.091625623703003
32.57613,43.583782726923616
73.66447,21.277543363571166
21.61351,21.71410788853963
17.83121,33.82752956072489
18.583364,28.170976215998333
16.115881,16.370046011606853
22.315756,46.2000522295634
74.87067,93.788069674174
14.937747,19.634810988108313
12.819377,28.142899710337318
13.773365,14.933508707682295
17.048798,21.199191404978436
39.46865,29.27082453091939
24.338308,32.81862339655558
86.27152,66.56653644243876
63.54503,57.293286587397255
19.13977,30.181582457224525
18.844908,27.045815703074137
22.055857,27.825781129201253
16.997698,20.604831053415936
21.343132,15.312230348587036
39.46596,24.36340880076091
78.76958,128.8623923746745
49.58361,105.60098061879476
23.115408,22.10317043304444
63.87548,34.68722044626872
10.484899,12.909401729901631
25.414621,18.287430702845256
11.605268,18.085063724517823
12.332512,13.634980440139769
10.299939,23.36059003829956
26.324722,32.414160973231
13.239474,18.179758094151815
116.01426,37.12679252624512
12.673151,49.27100994110108
15.307691,13.308426939646402
120.006134,132.4822583357493
102.813545,179.53263487497964
41.224506,83.21234037081402
71.03839,157.31101204554244
11.372086,20.264456909100215
10.445267,20.220128881533938
16.775635,28.39393352111181
13.829844,84.366489944458
10.352882,14.727839428583778
10.552312,30.451333573659262
10.247121,71.61824055671691
68.28075,67.24247854232789
74.07578,87.38845492045085
14.030334,23.615699799855552
108.77229,115.57506497383118
10.191363,18.356659978230795
11.410322,23.972424364089967
33.76254,61.41421587308248
12.361128,15.64554547627767
22.233707,42.614970607757556
11.696095,11.173617537816364
34.430973,40.697676254908245
10.983943,11.59936105410258
92.886536,78.12717487335206
101.29384,96.59295433680218
133.2798,80.68130055745442
33.155613,71.60636680285135
18.761633,54.089028638203935
13.521229,21.03706011136373
46.48914,102.64643280029297
110.89275,77.60620032946271
82.41584,54.99560221036276
47.357426,28.175455317894617
94.170845,104.48247015953064
